#eta,etabin,lut,func
-12,2,1013,964.176
20,4,77,79.0482
12,2,18,18.3428
-28,6,241,241.442
-14,3,146,147.157
-24,5,68,69.5722
-12,2,32,32.6094
-28,6,25,26.6378
12,2,18,18.3428
20,4,77,79.0482
-14,3,146,147.157
-12,2,32,32.6094
-24,5,68,69.5722
-28,6,25,26.6378
-28,6,241,241.442
3,0,481,480.926
12,2,30,30.5713
-14,3,445,445.173
-34,8,44,45.2618
-31,7,42,44.1626
-28,6,32,33.7412
-9,2,36,36.6856
-11,2,24,24.457
3,0,481,480.926
12,2,30,30.5713
-9,2,36,36.6856
-34,8,44,45.2618
-14,3,445,445.173
-31,7,42,44.1626
-11,2,24,24.457
-28,6,32,33.7412
26,6,312,312.844
2,0,239,239.33
29,7,33,34.1904
16,3,32,32.9442
4,0,21,20.8108
-28,6,91,91.918
-6,1,64,65.5616
-18,4,33,33.2834
-3,0,27,27.054
-17,4,19,18.7219
-13,3,6,6.17703
29,7,33,34.1904
2,0,239,239.33
26,6,312,312.844
4,0,21,20.8108
16,3,32,32.9442
-13,3,6,6.17703
-17,4,19,18.7219
-6,1,64,65.5616
-18,4,33,33.2834
-3,0,27,27.054
-28,6,91,91.918
4,0,561,560.696
11,2,216,217.457
17,4,37,37.4439
-2,0,228,229.213
-6,1,97,98.5922
-28,6,79,79.9134
-11,2,30,30.5713
-13,3,30,30.8852
17,4,37,37.4439
11,2,216,217.457
4,0,561,560.696
-13,3,30,30.8852
-2,0,228,229.213
-6,1,97,98.5922
-11,2,30,30.5713
-28,6,79,79.9134
11,2,154,155.309
26,6,93,94.5118
9,2,70,71.333
-18,4,157,158.9
-28,6,37,39.0688
9,2,70,71.333
26,6,93,94.5118
11,2,154,155.309
-18,4,157,158.9
-28,6,37,39.0688
10,2,2606,2605.77
1,0,1276,1232.86
9,2,460,458.722
2,0,51,52.0269
12,2,14,14.2666
-6,1,785,760.143
-5,1,18,18.4392
1,0,1276,1232.86
9,2,460,458.722
2,0,51,52.0269
10,2,2606,2605.77
12,2,14,14.2666
-5,1,18,18.4392
-6,1,785,760.143
17,4,79,81.1284
-37,9,66,67.2069
-22,5,66,67.5259
-8,1,60,61.464
-24,5,22,22.5086
17,4,79,81.1284
-22,5,66,67.5259
-8,1,60,61.464
-24,5,22,22.5086
-37,9,66,67.2069
2,0,806,784.623
5,1,400,399.984
2,0,102,103.394
6,1,92,93.5011
27,6,70,71.0342
12,2,46,46.876
-7,1,196,197.18
-20,4,106,106.888
-7,1,105,106.023
-6,1,30,30.732
-8,1,20,20.488
-5,1,20,20.488
5,1,400,399.984
2,0,102,103.394
2,0,806,784.623
6,1,92,93.5011
27,6,70,71.0342
12,2,46,46.876
-5,1,20,20.488
-6,1,30,30.732
-7,1,196,197.18
-7,1,105,106.023
-8,1,20,20.488
-20,4,106,106.888
1,0,39,39.5405
-2,0,51,52.0269
1,0,39,39.5405
-2,0,51,52.0269
-6,1,228,229.099
-31,7,25,27.0674
-29,7,25,27.0674
-20,4,23,22.8824
-17,4,19,18.7219
-17,4,19,18.7219
-29,7,25,27.0674
-6,1,228,229.099
-31,7,25,27.0674
-20,4,23,22.8824
34,8,274,274.314
-7,1,225,226.027
34,8,274,274.314
-7,1,225,226.027
-5,1,174,174.161
-10,2,152,152.047
-5,1,174,174.161
-10,2,152,152.047
15,3,391,391.503
-6,1,323,322.878
-8,1,34,34.8296
15,3,391,391.503
-6,1,323,322.878
-8,1,34,34.8296
31,7,278,279.222
13,3,205,205.798
20,4,25,24.9626
16,3,22,22.6491
19,4,13,12.4813
13,3,205,205.798
31,7,278,279.222
19,4,13,12.4813
16,3,22,22.6491
20,4,25,24.9626
-29,7,114,115.393
-2,0,111,111.724
-37,9,73,74.0648
-2,0,33,33.2972
-17,4,11,10.4011
-17,4,11,10.4011
-29,7,114,115.393
-2,0,111,111.724
-2,0,33,33.2972
-37,9,73,74.0648
28,6,64,65.7066
28,6,58,60.379
29,7,31,32.7658
12,2,42,42.7998
13,3,12,12.3541
-9,2,264,264.802
-26,6,221,221.423
-19,4,92,93.2371
-25,6,72,72.81
-23,5,78,79.8034
-28,6,50,51.4998
13,3,12,12.3541
29,7,31,32.7658
12,2,42,42.7998
28,6,58,60.379
28,6,64,65.7066
-1,0,9,8.32431
-9,2,264,264.802
-25,6,72,72.81
-2,0,23,22.8918
-26,6,221,221.423
-19,4,92,93.2371
-23,5,78,79.8034
-4,0,57,58.2702
-28,6,50,51.4998
-18,4,240,241.239
-5,1,96,97.3307
-20,4,13,12.4813
-5,1,96,97.3307
-18,4,240,241.239
-20,4,13,12.4813
17,4,351,352.488
6,1,143,144.019
11,2,70,71.333
-14,3,458,457.328
-4,0,51,52.0269
17,4,351,352.488
6,1,143,144.019
11,2,70,71.333
-14,3,458,457.328
-4,0,51,52.0269
28,6,41,42.6205
12,2,32,32.6094
-27,6,140,141.299
-17,4,146,147.301
-11,2,30,30.5713
-3,0,13,12.4865
12,2,32,32.6094
28,6,41,42.6205
-17,4,146,147.301
-3,0,13,12.4865
-11,2,30,30.5713
-27,6,140,141.299
14,3,722,705.693
25,6,103,104.72
23,5,87,88.0887
8,1,56,57.3664
7,1,20,20.488
-2,0,833,810.085
-20,4,51,52.0054
-5,1,20,20.488
-29,7,4,5.6984
25,6,103,104.72
14,3,722,705.693
7,1,20,20.488
23,5,87,88.0887
8,1,56,57.3664
-5,1,20,20.488
-29,7,4,5.6984
-2,0,833,810.085
-20,4,51,52.0054
5,1,131,131.757
1,0,39,39.5405
-7,1,987,944.112
-19,4,928,881.427
-15,3,249,249.786
1,0,39,39.5405
5,1,131,131.757
-7,1,987,944.112
-15,3,249,249.786
-19,4,928,881.427
4,0,1536,1491.44
12,2,1634,1565.16
9,2,490,488.726
19,4,25,24.9626
-4,0,409,409.627
-13,3,104,105.056
-14,3,38,39.1212
9,2,490,488.726
19,4,25,24.9626
4,0,1536,1491.44
12,2,1634,1565.16
-13,3,104,105.056
-14,3,38,39.1212
-4,0,409,409.627
9,2,357,357.643
28,6,243,243.658
11,2,152,153.136
2,0,43,43.7026
-19,4,641,630.153
-9,2,219,219.524
-19,4,25,24.9626
9,2,357,357.643
2,0,43,43.7026
11,2,152,153.136
28,6,243,243.658
-9,2,219,219.524
-19,4,25,24.9626
-19,4,641,630.153
12,2,771,745.978
3,0,610,607.486
25,6,553,553.313
25,6,139,140.112
11,2,105,106.362
18,4,103,104.471
-24,5,250,250.935
-6,1,18,18.4392
25,6,553,553.313
25,6,139,140.112
18,4,103,104.471
3,0,610,607.486
7,1,72,73.7568
11,2,105,106.362
19,4,55,56.1658
12,2,771,745.978
12,2,92,93.8739
-6,1,18,18.4392
-24,5,250,250.935
28,6,126,126.927
28,6,82,83.4651
-35,8,135,135.785
-7,1,44,45.0736
-15,3,32,32.9442
28,6,126,126.927
28,6,82,83.4651
-35,8,135,135.785
-7,1,44,45.0736
-15,3,32,32.9442
5,1,730,710.764
9,2,42,42.7998
14,3,40,41.1802
15,3,28,28.8262
5,1,18,18.4392
7,1,16,16.3904
-4,0,420,419.897
-13,3,241,242.307
-7,1,38,38.9272
-15,3,26,26.7672
5,1,18,18.4392
5,1,730,710.764
9,2,42,42.7998
14,3,40,41.1802
7,1,16,16.3904
15,3,28,28.8262
-13,3,241,242.307
-7,1,38,38.9272
-15,3,26,26.7672
-4,0,420,419.897
13,3,130,130.855
-23,5,1355,1307.13
-17,4,746,720.547
-12,2,304,304.89
-28,6,87,87.992
-4,0,77,79.0809
13,3,130,130.855
-17,4,746,720.547
-23,5,1355,1307.13
-4,0,77,79.0809
-12,2,304,304.89
-28,6,87,87.992
16,3,60,61.7703
8,1,26,26.6344
-18,4,25,24.9626
8,1,26,26.6344
16,3,60,61.7703
-18,4,25,24.9626
7,1,161,162.463
-16,3,86,88.5375
7,1,161,162.463
-16,3,86,88.5375
26,6,103,104.72
28,6,96,97.0879
29,7,51,52.7102
4,0,51,52.0269
10,2,10,10.1904
-23,5,262,262.58
-18,4,138,139.783
-35,8,94,94.6384
29,7,51,52.7102
10,2,10,10.1904
26,6,103,104.72
4,0,51,52.0269
28,6,96,97.0879
-18,4,138,139.783
-35,8,94,94.6384
-23,5,262,262.58
1,0,1120,1081
13,3,451,450.693
3,0,98,99.7374
10,2,88,89.6758
18,4,27,27.0428
-5,1,1018,972.284
-9,2,432,431.081
-15,3,287,288.202
-9,2,238,239.112
-13,3,186,187.326
-3,0,177,179.108
1,0,1120,1081
13,3,451,450.693
10,2,88,89.6758
18,4,27,27.0428
3,0,98,99.7374
-5,1,1018,972.284
-9,2,432,431.081
-9,2,238,239.112
-13,3,186,187.326
-22,5,108,108.593
-3,0,177,179.108
-7,1,176,177.326
-11,2,122,122.948
-15,3,287,288.202
-28,6,385,385.761
-29,7,181,182.349
-13,3,144,144.86
-9,2,26,26.4951
-9,2,26,26.4951
-13,3,144,144.86
-29,7,181,182.349
-28,6,385,385.761
25,6,58,60.379
-26,6,28,30.1895
-11,2,22,22.419
25,6,58,60.379
-26,6,28,30.1895
-11,2,22,22.419
9,2,1334,1267
20,4,395,395.398
10,2,124,125.253
2,0,104,105.801
23,5,34,34.7861
-5,1,1216,1160.07
-1,0,47,47.8648
9,2,1334,1267
2,0,104,105.801
10,2,124,125.253
23,5,34,34.7861
20,4,395,395.398
-1,0,47,47.8648
-5,1,1216,1160.07
5,1,651,642.105
5,1,569,569.136
12,2,56,57.0664
1,0,43,43.7026
-28,6,62,63.9307
1,0,43,43.7026
5,1,651,642.105
5,1,569,569.136
12,2,56,57.0664
-28,6,62,63.9307
28,6,197,198.973
-10,2,46,46.876
28,6,197,198.973
-10,2,46,46.876
8,1,111,112.055
-7,1,1409,1348.61
-17,4,985,933.35
-22,5,351,352.159
-14,3,56,57.6523
-8,1,54,55.3176
-16,3,12,12.3541
8,1,111,112.055
-17,4,985,933.35
-14,3,56,57.6523
-22,5,351,352.159
-7,1,1409,1348.61
-8,1,54,55.3176
-16,3,12,12.3541
15,3,587,588.037
16,3,560,560.607
15,3,587,588.037
16,3,560,560.607
33,8,164,170.952
28,6,133,134.149
36,9,43,43.8903
28,6,53,55.0515
8,1,24,24.5856
-31,7,64,65.5316
-15,3,60,61.7703
-2,0,21,20.8108
36,9,43,43.8903
8,1,24,24.5856
28,6,133,134.149
28,6,53,55.0515
33,8,164,170.952
-2,0,21,20.8108
-31,7,64,65.5316
-15,3,60,61.7703
20,4,366,367.403
12,2,264,264.802
12,2,264,264.802
20,4,366,367.403
27,6,1077,1054.8
25,6,93,94.5118
-10,2,836,803.92
25,6,93,94.5118
27,6,1077,1054.8
-10,2,836,803.92
13,3,623,621.453
29,7,84,85.476
4,0,23,22.8918
8,1,14,14.3416
14,3,8,8.23605
-4,0,1173,1132.06
-5,1,285,286.181
-7,1,16,16.3904
-7,1,10,10.244
13,3,623,621.453
29,7,84,85.476
14,3,8,8.23605
4,0,23,22.8918
8,1,14,14.3416
-5,1,285,286.181
-7,1,16,16.3904
-7,1,10,10.244
-4,0,1173,1132.06
-3,0,301,302.883
-1,0,197,198.683
-6,1,34,34.8296
-1,0,197,198.683
-6,1,34,34.8296
-3,0,301,302.883
8,1,754,732.021
3,0,55,56.1891
-4,0,517,516.449
-14,3,30,30.8852
3,0,55,56.1891
8,1,754,732.021
-14,3,30,30.8852
-4,0,517,516.449
4,0,137,138.796
-7,1,1134,1081.6
-7,1,688,674.084
-8,1,635,627.846
-2,0,204,205.839
-14,3,85,86.4785
4,0,137,138.796
-2,0,204,205.839
-14,3,85,86.4785
-7,1,688,674.084
-7,1,1134,1081.6
-8,1,635,627.846
20,4,21,20.8022
-27,6,736,729.192
-20,4,664,649.566
-28,6,67,69.2583
-11,2,42,42.7998
-2,0,41,41.6215
20,4,21,20.8022
-2,0,41,41.6215
-11,2,42,42.7998
-27,6,736,729.192
-20,4,664,649.566
-28,6,67,69.2583
3,0,463,462.226
13,3,304,305.297
8,1,173,173.104
12,2,30,30.5713
-13,3,1128,1070.23
13,3,304,305.297
3,0,463,462.226
8,1,173,173.104
12,2,30,30.5713
-13,3,1128,1070.23
28,6,491,491.175
1,0,217,218.056
23,5,84,84.0543
-13,3,237,238.03
-28,6,126,126.927
-29,7,75,76.9284
-28,6,77,78.1376
-18,4,67,68.6471
1,0,217,218.056
23,5,84,84.0543
28,6,491,491.175
-13,3,237,238.03
-29,7,75,76.9284
-18,4,67,68.6471
-28,6,77,78.1376
-28,6,126,126.927
29,7,25,27.0674
20,4,33,33.2834
14,3,26,26.7672
-20,4,112,112.826
29,7,25,27.0674
14,3,26,26.7672
20,4,33,33.2834
-20,4,112,112.826
16,3,46,47.3573
12,2,6,6.11426
-24,5,394,394.391
-22,5,355,355.322
-15,3,34,35.0032
12,2,6,6.11426
16,3,46,47.3573
-22,5,355,355.322
-15,3,34,35.0032
-24,5,394,394.391
3,0,150,151.763
33,8,67,71.23
23,5,32,32.7398
-18,4,194,194.638
-4,0,65,66.5945
3,0,150,151.763
23,5,32,32.7398
33,8,67,71.23
-18,4,194,194.638
-4,0,65,66.5945
13,3,74,76.1834
-28,6,28,30.1895
-19,4,19,18.7219
-16,3,1,2.05901
13,3,74,76.1834
-19,4,19,18.7219
-16,3,1,2.05901
-28,6,28,30.1895
28,6,530,530.395
19,4,338,338.614
20,4,308,309.012
28,6,46,47.9481
-4,0,33,33.2972
19,4,338,338.614
20,4,308,309.012
28,6,530,530.395
28,6,46,47.9481
-4,0,33,33.2972
-25,6,756,748.027
-18,4,707,686.524
-25,6,756,748.027
-18,4,707,686.524
4,0,195,196.634
9,2,20,20.3809
-4,0,198,199.707
9,2,20,20.3809
4,0,195,196.634
-4,0,198,199.707
4,0,43,43.7026
4,0,43,43.7026
17,4,1622,1551.63
14,3,979,932.718
2,0,725,711.1
3,0,107,108.186
21,5,64,65.4797
19,4,43,43.6845
-7,1,2160,2125.42
-10,2,2130,2083.22
-28,6,85,86.6733
-7,1,30,30.732
-2,0,23,22.8918
17,4,1622,1551.63
21,5,64,65.4797
2,0,725,711.1
14,3,979,932.718
3,0,107,108.186
19,4,43,43.6845
-2,0,23,22.8918
-10,2,2130,2083.22
-7,1,30,30.732
-7,1,2160,2125.42
-28,6,85,86.6733
12,2,188,189.365
5,1,113,114.434
6,1,70,71.708
6,1,62,63.5128
-12,2,289,289.457
-2,0,49,49.9458
-5,1,38,38.9272
5,1,113,114.434
6,1,62,63.5128
6,1,70,71.708
12,2,188,189.365
-5,1,38,38.9272
-2,0,49,49.9458
-12,2,289,289.457
23,5,88,89.4177
14,3,60,61.7703
-5,1,1293,1234.61
-9,2,1073,1018.79
-2,0,124,125.495
-26,6,77,78.1376
-3,0,19,18.7297
-17,4,13,12.4813
14,3,60,61.7703
23,5,88,89.4177
-5,1,1293,1234.61
-9,2,1073,1018.79
-17,4,13,12.4813
-2,0,124,125.495
-26,6,77,78.1376
-3,0,19,18.7297
25,6,308,309.569
26,6,275,275.629
7,1,54,55.3176
-28,6,330,331.382
-11,2,177,178.84
25,6,308,309.569
26,6,275,275.629
7,1,54,55.3176
-11,2,177,178.84
-28,6,330,331.382
26,6,258,259.126
-2,0,184,185.318
26,6,258,259.126
-2,0,184,185.318
-16,3,54,55.5933
-2,0,33,33.2972
-2,0,33,33.2972
-16,3,54,55.5933
7,1,1202,1146.72
19,4,309,309.997
9,2,84,85.5996
-4,0,779,760.374
-31,7,238,239.333
-16,3,22,22.6491
9,2,84,85.5996
7,1,1202,1146.72
19,4,309,309.997
-31,7,238,239.333
-4,0,779,760.374
-16,3,22,22.6491
17,4,130,131.028
12,2,119,120.629
5,1,34,34.8296
-2,0,37,37.4594
-8,1,30,30.732
-15,3,26,26.7672
-1,0,21,20.8108
-22,5,12,12.2774
5,1,34,34.8296
17,4,130,131.028
12,2,119,120.629
-1,0,21,20.8108
-2,0,37,37.4594
-22,5,12,12.2774
-15,3,26,26.7672
-8,1,30,30.732
6,1,1354,1293.85
26,6,91,91.918
22,5,91,92.0539
12,2,46,46.876
7,1,30,30.732
-8,1,1048,1000.6
-4,0,31,31.2162
6,1,1354,1293.85
22,5,91,92.0539
26,6,91,91.918
7,1,30,30.732
12,2,46,46.876
-4,0,31,31.2162
-8,1,1048,1000.6
35,8,43,43.8903
25,6,28,30.1895
-9,2,58,59.1045
25,6,28,30.1895
35,8,43,43.8903
-9,2,58,59.1045
15,3,46,47.3573
-15,3,975,928.985
-16,3,938,895.522
15,3,46,47.3573
-15,3,975,928.985
-16,3,938,895.522
18,4,122,123.194
-13,3,122,123.682
-5,1,32,32.7808
-5,1,24,24.5856
18,4,122,123.194
-5,1,24,24.5856
-5,1,32,32.7808
-13,3,122,123.682
32,7,81,82.6268
28,6,53,55.0515
6,1,52,53.2688
5,1,44,45.0736
4,0,29,29.1351
-26,6,197,198.973
-13,3,104,105.056
-8,1,70,71.708
-10,2,26,26.4951
5,1,44,45.0736
6,1,52,53.2688
32,7,81,82.6268
4,0,29,29.1351
28,6,53,55.0515
-13,3,104,105.056
-10,2,26,26.4951
-26,6,197,198.973
-8,1,70,71.708
29,7,318,319.11
27,6,267,267.935
3,0,43,43.7026
12,2,14,14.2666
-1,0,65,66.5945
29,7,318,319.11
3,0,43,43.7026
27,6,267,267.935
12,2,14,14.2666
-1,0,65,66.5945
17,4,35,35.3637
9,2,24,24.457
-12,2,477,475.837
-24,5,362,362.703
-25,6,118,119.623
-28,6,36,37.2929
9,2,24,24.457
17,4,35,35.3637
-25,6,118,119.623
-12,2,477,475.837
-24,5,362,362.703
-28,6,36,37.2929
10,2,1943,1883.69
6,1,279,280.074
11,2,150,150.956
12,2,52,52.9902
12,2,48,48.9141
-2,0,1015,979.949
-13,3,793,767.65
-15,3,719,703.329
-10,2,650,641.441
-20,4,19,18.7219
6,1,279,280.074
10,2,1943,1883.69
11,2,150,150.956
12,2,52,52.9902
12,2,48,48.9141
-13,3,793,767.65
-2,0,1015,979.949
-10,2,650,641.441
-15,3,719,703.329
-20,4,19,18.7219
-12,2,24,24.457
-12,2,24,24.457
16,3,551,551.509
7,1,463,462.6
33,8,66,69.8054
-18,4,859,819.928
-18,4,77,79.0482
-26,6,66,67.4824
7,1,463,462.6
16,3,551,551.509
33,8,66,69.8054
-18,4,77,79.0482
-18,4,859,819.928
-26,6,66,67.4824
-22,5,880,854.145
-7,1,757,735.386
-22,5,880,854.145
-7,1,757,735.386
7,1,851,819.185
9,2,78,79.4854
-22,5,1745,1698.98
-10,2,30,30.5713
9,2,78,79.4854
7,1,851,819.185
-10,2,30,30.5713
-22,5,1745,1698.98
28,6,292,293.17
20,4,246,247.139
18,4,130,131.028
6,1,48,49.1712
21,5,42,42.971
-26,6,58,60.379
-4,0,27,27.054
-16,3,16,16.4721
-18,4,17,16.6417
21,5,42,42.971
6,1,48,49.1712
18,4,130,131.028
20,4,246,247.139
28,6,292,293.17
-18,4,17,16.6417
-26,6,58,60.379
-4,0,27,27.054
-16,3,16,16.4721
-10,2,46,46.876
-17,4,43,43.6845
-19,4,35,35.3637
-17,4,43,43.6845
-10,2,46,46.876
-19,4,35,35.3637
14,3,38,39.1212
-20,4,71,72.8075
-11,2,20,20.3809
14,3,38,39.1212
-11,2,20,20.3809
-20,4,71,72.8075
4,0,928,898.381
11,2,449,448.067
1,0,102,103.394
-7,1,1344,1283.95
-19,4,112,112.826
-20,4,35,35.3637
-16,3,26,26.7672
1,0,102,103.394
11,2,449,448.067
4,0,928,898.381
-7,1,1344,1283.95
-19,4,112,112.826
-16,3,26,26.7672
-20,4,35,35.3637
8,1,132,132.885
-9,2,230,230.875
-4,0,37,37.4594
8,1,132,132.885
-9,2,230,230.875
-4,0,37,37.4594
-7,1,3179,3271.96
-8,1,1628,1567.86
-7,1,3179,3271.96
-8,1,1628,1567.86
27,6,187,188.781
15,3,187,188.418
-7,1,232,233.192
-13,3,74,76.1834
15,3,187,188.418
27,6,187,188.781
-13,3,74,76.1834
-7,1,232,233.192
19,4,343,343.564
17,4,21,20.8022
-11,2,428,426.847
17,4,21,20.8022
19,4,343,343.564
-11,2,428,426.847
15,3,377,378.47
-16,3,318,319.211
15,3,377,378.47
-16,3,318,319.211
7,1,1541,1479.67
28,6,60,62.1549
10,2,42,42.7998
-5,1,1350,1290.14
-3,0,90,91.5674
10,2,42,42.7998
7,1,1541,1479.67
28,6,60,62.1549
-5,1,1350,1290.14
-3,0,90,91.5674
11,2,28,28.5332
-28,6,148,149.562
-26,6,85,86.6733
-4,0,23,22.8918
11,2,28,28.5332
-26,6,85,86.6733
-4,0,23,22.8918
-28,6,148,149.562
26,6,699,693.818
27,6,323,323.753
8,1,236,237.28
13,3,89,90.5965
-16,3,147,148.303
13,3,89,90.5965
26,6,699,693.818
27,6,323,323.753
8,1,236,237.28
-16,3,147,148.303
23,5,144,145.327
26,6,72,72.81
25,6,27,28.4137
19,4,11,10.4011
25,6,27,28.4137
26,6,72,72.81
19,4,11,10.4011
23,5,144,145.327
6,1,302,302.477
20,4,29,29.123
-26,6,279,280.02
6,1,302,302.477
20,4,29,29.123
-26,6,279,280.02
6,1,473,472.074
25,6,213,213.593
7,1,42,43.0248
-15,3,848,815.932
-20,4,286,287.387
-28,6,137,137.733
-12,2,36,36.6856
-16,3,28,28.8262
25,6,213,213.593
6,1,473,472.074
7,1,42,43.0248
-15,3,848,815.932
-12,2,36,36.6856
-16,3,28,28.8262
-20,4,286,287.387
-28,6,137,137.733
28,6,419,419.432
9,2,176,177.783
14,3,162,163.009
15,3,22,22.6491
-25,6,442,442.245
-15,3,183,184.042
-7,1,44,45.0736
-6,1,42,43.0248
9,2,176,177.783
14,3,162,163.009
15,3,22,22.6491
28,6,419,419.432
-25,6,442,442.245
-6,1,42,43.0248
-7,1,44,45.0736
-15,3,183,184.042
10,2,1183,1122.25
10,2,758,734.484
-5,1,231,232.169
-8,1,98,99.8468
10,2,758,734.484
10,2,1183,1122.25
-5,1,231,232.169
-8,1,98,99.8468
26,6,204,204.61
25,6,153,154.25
7,1,56,57.3664
12,2,52,52.9902
12,2,42,42.7998
29,7,18,19.9444
-31,7,292,293.468
-12,2,126,127.545
-2,0,128,128.858
-9,2,40,40.7617
17,4,25,24.9626
25,6,153,154.25
29,7,18,19.9444
26,6,204,204.61
7,1,56,57.3664
12,2,42,42.7998
12,2,52,52.9902
-9,2,40,40.7617
-2,0,128,128.858
-31,7,292,293.468
-12,2,126,127.545
13,3,988,941.438
20,4,57,58.246
-1,0,440,439.468
-17,4,29,29.123
-12,2,12,12.2285
-7,1,8,8.1952
13,3,988,941.438
20,4,57,58.246
-1,0,440,439.468
-17,4,29,29.123
-7,1,8,8.1952
-12,2,12,12.2285
24,5,44,45.0173
-2,0,850,825.638
-14,3,695,682.112
-26,6,58,60.379
24,5,44,45.0173
-2,0,850,825.638
-14,3,695,682.112
-26,6,58,60.379
1,0,1586,1542.57
28,6,169,170.487
-10,2,1809,1743.96
-3,0,15,14.5675
1,0,1586,1542.57
28,6,169,170.487
-10,2,1809,1743.96
-3,0,15,14.5675
25,6,587,587.207
25,6,533,532.576
1,0,47,47.8648
7,1,8,8.1952
-29,7,45,47.0118
-2,0,63,64.5134
-5,1,30,30.732
1,0,47,47.8648
25,6,533,532.576
25,6,587,587.207
7,1,8,8.1952
-5,1,30,30.732
-29,7,45,47.0118
-2,0,63,64.5134
-7,1,1509,1447.96
-2,0,1279,1235.22
-25,6,409,409.657
-1,0,73,74.9188
-1,0,73,74.9188
-25,6,409,409.657
-2,0,1279,1235.22
-7,1,1509,1447.96
28,6,53,55.0515
7,1,34,34.8296
4,0,31,31.2162
14,3,28,28.8262
-28,6,131,131.75
-10,2,134,134.346
-33,8,102,106.845
-18,4,31,31.2032
-7,1,20,20.488
14,3,28,28.8262
7,1,34,34.8296
4,0,31,31.2162
28,6,53,55.0515
-10,2,134,134.346
-18,4,31,31.2032
-7,1,20,20.488
-28,6,131,131.75
-33,8,102,106.845
26,6,295,296.453
4,0,47,47.8648
8,1,28,28.6832
14,3,18,18.5311
5,1,14,14.3416
5,1,14,14.3416
14,3,18,18.5311
26,6,295,296.453
4,0,47,47.8648
8,1,28,28.6832
27,6,146,147.21
32,7,74,75.5038
-18,4,39,39.5241
-11,2,32,32.6094
-9,2,26,26.4951
27,6,146,147.21
32,7,74,75.5038
-9,2,26,26.4951
-18,4,39,39.5241
-11,2,32,32.6094
7,1,24,24.5856
-7,1,38,38.9272
7,1,24,24.5856
-7,1,38,38.9272
-32,7,86,88.3252
-1,0,82,83.2431
-9,2,62,63.1807
-22,5,14,14.3237
-1,0,82,83.2431
-9,2,62,63.1807
-22,5,14,14.3237
-32,7,86,88.3252
1,0,162,163.434
7,1,76,77.8544
28,6,51,53.2756
-31,7,108,109.694
-28,6,114,114.703
-23,5,60,61.3872
-28,6,48,49.7239
1,0,162,163.434
7,1,76,77.8544
28,6,51,53.2756
-31,7,108,109.694
-23,5,60,61.3872
-28,6,48,49.7239
-28,6,114,114.703
1,0,486,485.092
20,4,465,464.318
18,4,41,41.6043
1,0,486,485.092
18,4,41,41.6043
20,4,465,464.318
20,4,329,329.717
-1,0,285,285.734
-10,2,48,48.9141
20,4,329,329.717
-1,0,285,285.734
-10,2,48,48.9141
9,2,46,46.876
20,4,41,41.6043
16,3,22,22.6491
-22,5,133,134.944
-33,8,59,62.6824
9,2,46,46.876
16,3,22,22.6491
20,4,41,41.6043
-22,5,133,134.944
-33,8,59,62.6824
14,3,253,254.056
2,0,43,43.7026
-19,4,391,391.386
-23,5,348,348.997
2,0,43,43.7026
14,3,253,254.056
-19,4,391,391.386
-23,5,348,348.997
5,1,42,43.0248
20,4,35,35.3637
2,0,25,24.9729
17,4,21,20.8022
-18,4,533,532.597
-4,0,184,185.318
-15,3,154,155.13
-14,3,113,113.89
-13,3,78,80.3015
-4,0,77,79.0809
5,1,42,43.0248
17,4,21,20.8022
2,0,25,24.9729
20,4,35,35.3637
-13,3,78,80.3015
-10,2,1,2.03809
-14,3,113,113.89
-18,4,533,532.597
-15,3,154,155.13
-4,0,184,185.318
-4,0,77,79.0809
25,6,72,72.81
28,6,41,42.6205
19,4,23,22.8824
-18,4,97,98.3082
-14,3,72,74.1244
-2,0,15,14.5675
25,6,72,72.81
19,4,23,22.8824
28,6,41,42.6205
-2,0,15,14.5675
-14,3,72,74.1244
-18,4,97,98.3082
8,1,28,28.6832
-22,5,494,493.431
-14,3,336,337.453
-29,7,67,68.3808
-7,1,48,49.1712
8,1,28,28.6832
-29,7,67,68.3808
-14,3,336,337.453
-22,5,494,493.431
-7,1,48,49.1712
4,0,401,401.426
19,4,119,119.779
2,0,71,72.8377
27,6,55,56.8273
29,7,23,24.2182
-24,5,369,370.089
-26,6,89,90.6142
-14,3,50,51.4753
-16,3,22,22.6491
29,7,23,24.2182
2,0,71,72.8377
19,4,119,119.779
27,6,55,56.8273
4,0,401,401.426
-14,3,50,51.4753
-26,6,89,90.6142
-16,3,22,22.6491
-24,5,369,370.089
25,6,881,866.168
6,1,76,77.8544
7,1,54,55.3176
-26,6,690,684.991
-20,4,152,153.657
-13,3,99,101.177
-7,1,72,73.7568
-6,1,30,30.732
25,6,881,866.168
6,1,76,77.8544
7,1,54,55.3176
-13,3,99,101.177
-6,1,30,30.732
-26,6,690,684.991
-7,1,72,73.7568
-20,4,152,153.657
7,1,135,135.133
2,0,49,49.9458
1,0,21,20.8108
8,1,16,16.3904
-2,0,946,915.29
-6,1,561,561.586
-28,6,55,56.8273
-13,3,12,12.3541
1,0,21,20.8108
2,0,49,49.9458
7,1,135,135.133
8,1,16,16.3904
-13,3,12,12.3541
-2,0,946,915.29
-6,1,561,561.586
-28,6,55,56.8273
8,1,817,788.437
22,5,534,534.339
11,2,237,238.083
18,4,153,154.71
8,1,74,75.8056
-9,2,643,635.838
-33,8,66,69.8054
