#eta,etabin,lut,func,funcInt
23,5,84,84.0543,84
8,1,81,81.952,81
25,6,58,60.379,60
29,7,41,42.738,42
14,3,40,41.1802,41
-8,1,409,409.318,409
-1,0,262,262.545,262
-4,0,113,114.06,114
-10,2,106,107.577,107
-5,1,76,77.8544,77
-28,6,43,44.3963,44
25,6,58,60.379,60
29,7,41,42.738,42
10,2,642,634.718,634
14,3,40,41.1802,41
23,5,84,84.0543,84
8,1,81,81.952,81
-1,0,262,262.545,262
-5,1,76,77.8544,77
-10,2,106,107.577,107
-10,2,30,30.5713,30
-22,5,40,40.9248,40
-4,0,113,114.06,114
-8,1,409,409.318,409
-28,6,43,44.3963,44
3,0,35,35.3783,35
18,4,31,31.2032,31
-6,1,766,743.249,743
-1,0,653,646.097,646
-3,0,41,41.6215,41
18,4,31,31.2032,31
3,0,35,35.3783,35
-1,0,653,646.097,646
-6,1,766,743.249,743
-3,0,41,41.6215,41
5,1,1648,1588.44,1588
1,0,993,959.462,959
4,0,780,761.474,761
33,8,28,29.9166,29
10,2,4,4.07617,4
-12,2,32,32.6094,32
1,0,993,959.462,959
5,1,1648,1588.44,1588
10,2,4,4.07617,4
4,0,780,761.474,761
33,8,28,29.9166,29
-12,2,32,32.6094,32
14,3,62,63.8294,63
8,1,36,36.8784,36
14,3,62,63.8294,63
8,1,36,36.8784,36
2,0,51,52.0269,52
4,0,33,33.2972,33
-20,4,621,612.987,612
-16,3,397,398.035,398
-15,3,316,317.069,317
-25,6,158,158.914,158
-19,4,152,153.657,153
-10,2,78,79.4854,79
2,0,51,52.0269,52
4,0,33,33.2972,33
-25,6,158,158.914,158
-10,2,78,79.4854,79
-15,3,316,317.069,317
-19,4,152,153.657,153
-16,3,397,398.035,398
-20,4,621,612.987,612
16,3,16,16.4721,16
-25,6,287,287.695,287
-19,4,137,138.698,138
-29,7,62,64.107,64
16,3,16,16.4721,16
-25,6,287,287.695,287
-29,7,62,64.107,64
-19,4,137,138.698,138
2,0,1925,1892.38,1892
24,5,159,160.041,160
4,0,59,60.3512,60
-9,2,1260,1196.08,1196
2,0,1925,1892.38,1892
4,0,59,60.3512,60
24,5,159,160.041,160
-9,2,1260,1196.08,1196
22,5,273,274.201,274
2,0,23,22.8918,22
-15,3,272,273.262,273
-31,7,95,96.8728,96
-5,1,18,18.4392,18
2,0,23,22.8918,22
22,5,273,274.201,274
-5,1,18,18.4392,18
-31,7,95,96.8728,96
-15,3,272,273.262,273
21,5,624,622.508,622
-28,6,346,347.713,347
-5,1,159,160.319,160
21,5,624,622.508,622
-5,1,159,160.319,160
-28,6,346,347.713,347
13,3,414,414.412,414
7,1,16,16.3904,16
-8,1,451,450.002,450
-5,1,50,51.22,51
-10,2,20,20.3809,20
13,3,414,414.412,414
7,1,16,16.3904,16
-5,1,50,51.22,51
-10,2,20,20.3809,20
-8,1,451,450.002,450
29,7,35,37.0396,37
-20,4,106,106.888,106
29,7,35,37.0396,37
-20,4,106,106.888,106
7,1,28,28.6832,28
-21,5,772,754.554,754
-18,4,427,426.646,426
-23,5,183,184.382,184
-8,1,30,30.732,30
-12,2,28,28.5332,28
-8,1,20,20.488,20
7,1,28,28.6832,28
-21,5,772,754.554,754
-18,4,427,426.646,426
-23,5,183,184.382,184
-8,1,20,20.488,20
-8,1,30,30.732,30
-12,2,28,28.5332,28
-24,5,6,6.13872,6
17,4,1106,1046.1,1046
-2,0,1094,1055.6,1055
17,4,1106,1046.1,1046
