#eta,etabin,lut,func,funcInt
1,0,65,66.5945,66
-7,1,341,341.287,341
1,0,65,66.5945,66
26,6,144,144.851,144
15,3,137,137.908,137
-7,1,341,341.287,341
1,0,37,37.4594,37
-32,7,214,215.115,215
-4,0,138,139.887,139
-26,6,57,58.6032,58
-29,7,38,39.8888,39
-15,3,54,55.5933,55
-13,3,24,24.7081,24
1,0,37,37.4594,37
-13,3,24,24.7081,24
-29,7,38,39.8888,39
-26,6,57,58.6032,58
-15,3,54,55.5933,55
-32,7,214,215.115,215
-4,0,138,139.887,139
-27,6,992,973.095,973
-6,1,803,775.966,775
-13,3,99,101.177,101
-3,0,21,20.8108,20
-7,1,18,18.4392,18
-13,3,99,101.177,101
-6,1,803,775.966,775
-3,0,21,20.8108,20
-7,1,18,18.4392,18
-27,6,992,973.095,973
7,1,291,291.272,291
15,3,131,132.039,132
19,4,71,72.8075,72
-14,3,70,72.0654,72
7,1,291,291.272,291
15,3,131,132.039,132
19,4,71,72.8075,72
-14,3,70,72.0654,72
-20,4,256,256.962,256
-11,2,210,211.245,211
-11,2,210,211.245,211
-20,4,256,256.962,256
14,3,591,592.629,592
27,6,319,320.482,320
1,0,207,208.899,208
-22,5,54,55.2485,55
1,0,207,208.899,208
14,3,591,592.629,592
27,6,319,320.482,320
-22,5,54,55.2485,55
-25,6,110,110.983,110
-22,5,76,77.7571,77
-25,6,110,110.983,110
-22,5,76,77.7571,77
2,0,1321,1276.61,1276
26,6,67,69.2583,69
3,0,63,64.5134,64
-3,0,1298,1254.11,1254
-4,0,90,91.5674,91
-18,4,43,43.6845,43
-4,0,39,39.5405,39
2,0,1321,1276.61,1276
26,6,67,69.2583,69
3,0,63,64.5134,64
-18,4,43,43.6845,43
-3,0,1298,1254.11,1254
-4,0,90,91.5674,91
-4,0,39,39.5405,39
20,4,535,534.688,534
17,4,370,370.393,370
8,1,22,22.5368,22
17,4,370,370.393,370
8,1,22,22.5368,22
20,4,535,534.688,534
8,1,95,96.0618,96
2,0,65,66.5945,66
11,2,24,24.457,24
-25,6,97,98.3696,98
-2,0,75,76.9998,76
-8,1,38,38.9272,38
-20,4,35,35.3637,35
-1,0,27,27.054,27
-13,3,10,10.2951,10
2,0,65,66.5945,66
11,2,24,24.457,24
8,1,95,96.0618,96
-1,0,27,27.054,27
-13,3,10,10.2951,10
-25,6,97,98.3696,98
-2,0,75,76.9998,76
-8,1,38,38.9272,38
-20,4,35,35.3637,35
28,6,50,51.4998,51
-24,5,85,85.4073,85
-2,0,45,45.7837,45
-7,1,32,32.7808,32
-1,0,21,20.8108,20
28,6,50,51.4998,51
-1,0,21,20.8108,20
-2,0,45,45.7837,45
-7,1,32,32.7808,32
-24,5,85,85.4073,85
27,6,197,198.973,198
4,0,122,123.237,123
21,5,62,63.4334,63
28,6,48,49.7239,49
23,5,54,55.2485,55
-6,1,42,43.0248,43
-15,3,30,30.8852,30
-10,2,22,22.419,22
-19,4,13,12.4813,12
21,5,62,63.4334,63
23,5,54,55.2485,55
27,6,197,198.973,198
4,0,122,123.237,123
28,6,48,49.7239,49
-6,1,42,43.0248,43
-10,2,22,22.419,22
-15,3,30,30.8852,30
-19,4,13,12.4813,12
1,0,580,580.846,580
16,3,303,304.227,304
19,4,228,228.432,228
1,0,580,580.846,580
19,4,228,228.432,228
16,3,303,304.227,304
9,2,196,197.731,197
4,0,118,118.679,118
14,3,46,47.3573,47
7,1,22,22.5368,22
-29,7,251,252.154,252
-23,5,52,53.2022,53
-9,2,18,18.3428,18
9,2,196,197.731,197
14,3,46,47.3573,47
7,1,22,22.5368,22
4,0,118,118.679,118
-9,2,18,18.3428,18
-29,7,251,252.154,252
-23,5,52,53.2022,53
21,5,848,824.55,824
18,4,45,45.7647,45
-10,2,739,718.446,718
-21,5,294,294.235,294
-28,6,58,60.379,60
21,5,848,824.55,824
18,4,45,45.7647,45
-21,5,294,294.235,294
-10,2,739,718.446,718
-28,6,58,60.379,60
28,6,62,63.9307,63
35,8,47,48.005,48
29,7,38,39.8888,39
6,1,52,53.2688,53
12,2,32,32.6094,32
24,5,26,26.6011,26
-20,4,75,76.968,76
-28,6,36,37.2929,37
-29,7,24,25.6428,25
-10,2,28,28.5332,28
29,7,38,39.8888,39
6,1,52,53.2688,53
35,8,47,48.005,48
12,2,32,32.6094,32
24,5,26,26.6011,26
28,6,62,63.9307,63
-29,7,24,25.6428,25
-10,2,28,28.5332,28
-20,4,75,76.968,76
-28,6,36,37.2929,37
27,6,122,123.286,123
-4,0,199,200.73,200
27,6,122,123.286,123
-4,0,199,200.73,200
17,4,281,282.478,282
7,1,212,213.708,213
17,4,281,282.478,282
7,1,212,213.708,213
35,8,67,68.5785,68
-13,3,157,157.39,157
35,8,67,68.5785,68
-13,3,157,157.39,157
20,4,17,16.6417,16
4,0,15,14.5675,14
-26,6,898,882.985,882
-10,2,872,835.531,835
-1,0,94,96.0212,96
-28,6,51,53.2756,53
4,0,15,14.5675,14
20,4,17,16.6417,16
-1,0,94,96.0212,96
-10,2,872,835.531,835
-26,6,898,882.985,882
-28,6,51,53.2756,53
7,1,216,216.793,216
24,5,208,209.324,209
9,2,187,188.316,188
24,5,176,176.699,176
4,0,21,20.8108,20
-21,5,36,36.8323,36
9,2,187,188.316,188
7,1,216,216.793,216
4,0,21,20.8108,20
24,5,208,209.324,209
24,5,176,176.699,176
-21,5,36,36.8323,36
1,0,285,285.734,285
6,1,153,153.848,153
1,0,29,29.1351,29
-4,0,221,222.117,222
-5,1,8,8.1952,8
1,0,285,285.734,285
1,0,29,29.1351,29
6,1,153,153.848,153
-5,1,8,8.1952,8
-4,0,221,222.117,222
28,6,50,51.4998,51
-28,6,34,35.5171,35
-8,1,24,24.5856,24
28,6,50,51.4998,51
-8,1,24,24.5856,24
-28,6,34,35.5171,35
15,3,291,292.473,292
5,1,269,269.895,269
11,2,28,28.5332,28
-7,1,517,516.582,516
-10,2,141,142.16,142
-29,7,47,48.4364,48
-22,5,64,65.4797,65
-28,6,30,31.9654,31
5,1,269,269.895,269
11,2,28,28.5332,28
15,3,291,292.473,292
-29,7,47,48.4364,48
-10,2,141,142.16,142
-22,5,64,65.4797,65
-7,1,517,516.582,516
-28,6,30,31.9654,31
7,1,166,166.735,166
28,6,144,144.851,144
1,0,86,87.4052,87
7,1,56,57.3664,57
6,1,38,38.9272,38
13,3,8,8.23605,8
-1,0,65,66.5945,66
1,0,86,87.4052,87
13,3,8,8.23605,8
6,1,38,38.9272,38
7,1,166,166.735,166
7,1,56,57.3664,57
28,6,144,144.851,144
-1,0,65,66.5945,66
-28,6,146,147.21,147
-12,2,131,132.091,132
-12,2,131,132.091,132
-28,6,146,147.21,147
1,0,43,43.7026,43
12,2,28,28.5332,28
2,0,19,18.7297,18
6,1,12,12.2928,12
-7,1,759,736.509,736
-13,3,679,669.201,669
-18,4,219,219.538,219
-22,5,202,203.935,203
-22,5,163,163.397,163
-1,0,53,54.108,54
1,0,43,43.7026,43
2,0,19,18.7297,18
6,1,12,12.2928,12
12,2,28,28.5332,28
-1,0,53,54.108,54
-13,3,679,669.201,669
-2,0,21,20.8108,20
-6,1,30,30.732,30
-18,4,219,219.538,219
-22,5,163,163.397,163
-22,5,202,203.935,203
-7,1,759,736.509,736
2,0,806,784.623,784
8,1,322,321.857,321
9,2,207,208.134,208
-10,2,128,128.686,128
-5,1,93,94.7854,94
-18,4,23,22.8824,22
-1,0,11,10.4054,10
9,2,207,208.134,208
2,0,806,784.623,784
8,1,322,321.857,321
-1,0,11,10.4054,10
-5,1,93,94.7854,94
-10,2,128,128.686,128
-18,4,23,22.8824,22
21,5,717,705.378,705
19,4,535,534.688,534
21,5,717,705.378,705
19,4,535,534.688,534
34,8,69,69.9501,69
10,2,64,65.2188,65
17,4,61,62.4065,62
5,1,54,55.3176,55
-13,3,83,84.4195,84
-13,3,16,16.4721,16
5,1,54,55.3176,55
17,4,61,62.4065,62
34,8,69,69.9501,69
10,2,64,65.2188,65
-13,3,16,16.4721,16
-13,3,83,84.4195,84
24,5,459,459.191,459
10,2,435,434.26,434
21,5,215,216.843,216
19,4,77,79.0482,79
-5,1,192,193.024,193
-29,7,54,55.5594,55
-10,2,60,61.1426,61
-14,3,10,10.2951,10
21,5,215,216.843,216
10,2,435,434.26,434
19,4,77,79.0482,79
24,5,459,459.191,459
-5,1,192,193.024,193
-29,7,54,55.5594,55
-10,2,60,61.1426,61
-14,3,10,10.2951,10
-11,2,729,709.309,709
-27,6,471,471.593,471
-1,0,133,134.405,134
-11,2,85,87.6377,87
-33,8,36,38.4642,38
-10,2,44,44.8379,44
-1,0,133,134.405,134
-1,0,13,12.4865,12
-17,4,21,20.8022,20
-10,2,28,28.5332,28
-10,2,44,44.8379,44
-11,2,729,709.309,709
-11,2,85,87.6377,87
-27,6,471,471.593,471
-4,0,29,29.1351,29
-33,8,36,38.4642,38
9,2,104,105.141,105
26,6,66,67.4824,67
-26,6,39,40.8446,40
9,2,104,105.141,105
26,6,66,67.4824,67
-26,6,39,40.8446,40
8,1,599,597.3,597
28,6,50,51.4998,51
8,1,44,45.0736,45
-26,6,1168,1143.95,1143
-19,4,181,181.522,181
-28,6,34,35.5171,35
-7,1,14,14.3416,14
8,1,599,597.3,597
8,1,44,45.0736,45
28,6,50,51.4998,51
-26,6,1168,1143.95,1143
-7,1,14,14.3416,14
-19,4,181,181.522,181
-28,6,34,35.5171,35
-22,5,299,299.502,299
-1,0,159,161.325,161
-1,0,159,161.325,161
-22,5,299,299.502,299
19,4,238,239.271,239
1,0,157,159.21,159
5,1,70,71.708,71
13,3,30,30.8852,30
-23,5,323,323.72,323
-14,3,319,320.283,320
-1,0,79,81.162,81
-28,6,53,55.0515,55
-23,5,56,57.2947,57
-18,4,49,49.9252,49
1,0,157,159.21,159
5,1,70,71.708,71
13,3,30,30.8852,30
19,4,238,239.271,239
-1,0,5,4.16215,4
-1,0,79,81.162,81
-5,1,20,20.488,20
-14,3,319,320.283,320
-18,4,49,49.9252,49
-23,5,323,323.72,323
-23,5,56,57.2947,57
-28,6,53,55.0515,55
31,7,64,65.5316,65
2,0,82,83.2431,83
-4,0,460,459.116,459
-21,5,395,395.449,395
-28,6,168,169.335,169
-21,5,147,148.75,148
-2,0,17,16.6486,16
2,0,82,83.2431,83
31,7,64,65.5316,65
-21,5,147,148.75,148
-21,5,395,395.449,395
-2,0,17,16.6486,16
-4,0,460,459.116,459
-28,6,168,169.335,169
7,1,16,16.3904,16
-27,6,212,212.473,212
-28,6,186,187.645,187
7,1,16,16.3904,16
-27,6,212,212.473,212
-28,6,186,187.645,187
2,0,39,39.5405,39
1,0,9,8.32431,8
-15,3,106,107.609,107
-8,1,14,14.3416,14
1,0,9,8.32431,8
2,0,39,39.5405,39
-15,3,106,107.609,107
-8,1,14,14.3416,14
11,2,726,707.028,707
16,3,463,462.866,462
11,2,726,707.028,707
16,3,463,462.866,462
20,4,86,87.369,87
26,6,46,47.9481,47
16,3,36,37.0622,37
13,3,20,20.5901,20
-7,1,1704,1645.31,1645
-19,4,1250,1182.14,1182
13,3,20,20.5901,20
26,6,46,47.9481,47
16,3,36,37.0622,37
20,4,86,87.369,87
-7,1,1704,1645.31,1645
-19,4,1250,1182.14,1182
14,3,473,472.856,472
-2,0,386,386.084,386
-29,7,54,55.5594,55
14,3,473,472.856,472
-29,7,54,55.5594,55
-2,0,386,386.084,386
4,0,65,66.5945,66
2,0,45,45.7837,45
8,1,8,8.1952,8
-10,2,56,57.0664,57
2,0,45,45.7837,45
4,0,65,66.5945,66
8,1,8,8.1952,8
-10,2,56,57.0664,57
14,3,46,47.3573,47
5,1,42,43.0248,43
14,3,24,24.7081,24
-11,2,104,105.141,105
-9,2,101,102.682,102
-23,5,92,93.3615,93
-13,3,30,30.8852,30
-5,1,30,30.732,30
5,1,42,43.0248,43
14,3,46,47.3573,47
14,3,24,24.7081,24
-5,1,30,30.732,30
-9,2,101,102.682,102
-13,3,30,30.8852,30
-11,2,104,105.141,105
-23,5,92,93.3615,93
11,2,385,384.763,384
18,4,289,290.333,290
15,3,40,41.1802,41
-2,0,31,31.2162,31
18,4,289,290.333,290
11,2,385,384.763,384
15,3,40,41.1802,41
-2,0,31,31.2162,31
20,4,646,634.458,634
13,3,410,410.038,410
17,4,57,58.246,58
-2,0,236,236.297,236
-14,3,22,22.6491,22
13,3,410,410.038,410
17,4,57,58.246,58
20,4,646,634.458,634
-2,0,236,236.297,236
-14,3,22,22.6491,22
8,1,1269,1211.3,1211
8,1,36,36.8784,36
-11,2,869,833.182,833
-4,0,188,189.442,189
8,1,36,36.8784,36
8,1,1269,1211.3,1211
-11,2,869,833.182,833
-4,0,188,189.442,189
-27,6,297,297.547,297
-14,3,256,257.258,257
-14,3,256,257.258,257
-27,6,297,297.547,297
12,2,107,108.787,108
18,4,61,62.4065,62
2,0,15,14.5675,14
18,4,11,10.4011,10
-7,1,120,121.463,121
-25,6,50,51.4998,51
-12,2,52,52.9902,52
2,0,15,14.5675,14
18,4,61,62.4065,62
18,4,11,10.4011,10
12,2,107,108.787,108
-25,6,50,51.4998,51
-7,1,120,121.463,121
-12,2,52,52.9902,52
7,1,34,34.8296,34
-14,3,52,53.5343,53
-20,4,41,41.6043,41
7,1,34,34.8296,34
-14,3,52,53.5343,53
-20,4,41,41.6043,41
13,3,120,121.26,121
28,6,53,55.0515,55
4,0,27,27.054,27
-11,2,219,219.524,219
-24,5,134,136.107,136
-10,2,20,20.3809,20
13,3,120,121.26,121
4,0,27,27.054,27
28,6,53,55.0515,55
-10,2,20,20.3809,20
-11,2,219,219.524,219
-24,5,134,136.107,136
-24,5,269,269.977,269
-14,3,269,270.062,270
-27,6,215,215.833,215
-23,5,103,103.601,103
-12,2,85,87.6377,87
-17,4,15,14.5615,14
-17,4,15,14.5615,14
-14,3,269,270.062,270
-23,5,103,103.601,103
-27,6,215,215.833,215
-12,2,85,87.6377,87
-24,5,269,269.977,269
26,6,153,154.25,154
34,8,100,101.496,101
12,2,14,14.2666,14
-5,1,22,22.5368,22
-1,0,19,18.7297,18
34,8,100,101.496,101
26,6,153,154.25,154
12,2,14,14.2666,14
-1,0,19,18.7297,18
-5,1,22,22.5368,22
34,8,81,82.2942,82
14,3,97,99.8698,99
34,8,81,82.2942,82
14,3,97,99.8698,99
-22,5,546,546.233,546
-21,5,226,227.54,227
-7,1,164,164.602,164
-15,3,153,153.997,153
-21,5,226,227.54,227
-22,5,546,546.233,546
-7,1,164,164.602,164
-15,3,153,153.997,153
9,2,769,744.827,744
17,4,636,625.854,625
28,6,80,81.6893,81
31,7,50,51.2856,51
12,2,44,44.8379,44
7,1,38,38.9272,38
-26,6,44,46.1722,46
-13,3,40,41.1802,41
-2,0,37,37.4594,37
-2,0,35,35.3783,35
9,2,769,744.827,744
17,4,636,625.854,625
21,5,26,26.6011,26
31,7,50,51.2856,51
7,1,38,38.9272,38
12,2,44,44.8379,44
28,6,80,81.6893,81
-13,3,40,41.1802,41
-2,0,35,35.3783,35
-2,0,37,37.4594,37
-26,6,44,46.1722,46
13,3,155,156.261,156
2,0,49,49.9458,49
2,0,35,35.3783,35
-26,6,138,138.923,138
-20,4,25,24.9626,24
13,3,155,156.261,156
2,0,35,35.3783,35
2,0,49,49.9458,49
-26,6,138,138.923,138
-20,4,25,24.9626,24
27,6,132,132.951,132
25,6,120,120.847,120
1,0,49,49.9458,49
17,4,17,16.6417,16
-25,6,111,112.226,112
1,0,49,49.9458,49
17,4,17,16.6417,16
25,6,120,120.847,120
27,6,132,132.951,132
-25,6,111,112.226,112
26,6,467,467.243,467
4,0,176,178.07,178
13,3,60,61.7703,61
-12,2,632,625.773,625
-15,3,115,116.365,116
13,3,60,61.7703,61
26,6,467,467.243,467
4,0,176,178.07,178
-15,3,115,116.365,116
-12,2,632,625.773,625
20,4,858,818.797,818
1,0,539,538.522,538
1,0,539,538.522,538
20,4,858,818.797,818
5,1,468,467.861,467
17,4,188,188.603,188
35,8,160,160.474,160
7,1,116,116.794,116
2,0,99,100.962,100
29,7,38,39.8888,39
-28,6,347,348.801,348
-10,2,32,32.6094,32
1,0,35,35.3783,35
5,1,468,467.861,467
17,4,188,188.603,188
29,7,38,39.8888,39
2,0,99,100.962,100
35,8,160,160.474,160
3,0,33,33.2972,33
7,1,116,116.794,116
7,1,52,53.2688,53
4,0,21,20.8108,20
4,0,39,39.5405,39
-10,2,32,32.6094,32
-28,6,347,348.801,348
-5,1,298,298.401,298
-19,4,187,187.594,187
-2,0,77,79.0809,79
-5,1,298,298.401,298
-2,0,77,79.0809,79
-19,4,187,187.594,187
1,0,402,402.451,402
34,8,85,86.4089,86
8,1,102,103.571,103
24,5,76,77.7571,77
20,4,27,27.0428,27
14,3,14,14.4131,14
-6,1,1933,1883.11,1883
-1,0,1207,1164.74,1164
-12,2,880,842.586,842
-4,0,414,413.733,413
-5,1,36,36.8784,36
-15,3,26,26.7672,26
1,0,402,402.451,402
34,8,85,86.4089,86
14,3,14,14.4131,14
8,1,102,103.571,103
20,4,27,27.0428,27
24,5,76,77.7571,77
-1,0,1207,1164.74,1164
-5,1,36,36.8784,36
-6,1,1933,1883.11,1883
-15,3,26,26.7672,26
-4,0,414,413.733,413
-12,2,880,842.586,842
2,0,140,142.065,142
6,1,106,107.24,107
12,2,24,24.457,24
9,2,18,18.3428,18
-7,1,482,481.57,481
-9,2,367,368.053,368
-3,0,45,45.7837,45
9,2,18,18.3428,18
2,0,140,142.065,142
6,1,106,107.24,107
12,2,24,24.457,24
-9,2,367,368.053,368
-3,0,45,45.7837,45
-7,1,482,481.57,481
14,3,623,621.453,621
24,5,102,102.341,102
28,6,89,90.6142,90
11,2,28,28.5332,28
29,7,13,14.246,14
-24,5,603,603.89,603
-22,5,28,28.6474,28
-8,1,14,14.3416,14
29,7,13,14.246,14
14,3,623,621.453,621
11,2,28,28.5332,28
24,5,102,102.341,102
28,6,89,90.6142,90
-22,5,28,28.6474,28
-8,1,14,14.3416,14
-24,5,603,603.89,603
19,4,23,22.8824,22
-26,6,616,615.697,615
-12,2,540,539.656,539
-26,6,110,110.983,110
-12,2,88,89.6758,89
-16,3,44,45.2983,45
-14,3,24,24.7081,24
19,4,23,22.8824,22
-14,3,24,24.7081,24
-26,6,616,615.697,615
-26,6,110,110.983,110
-12,2,88,89.6758,89
-12,2,540,539.656,539
-16,3,44,45.2983,45
37,9,254,253.741,253
14,3,164,165.246,165
28,6,39,40.8446,40
-8,1,92,93.5011,93
-3,0,65,66.5945,66
-9,2,26,26.4951,26
14,3,164,165.246,165
28,6,39,40.8446,40
37,9,254,253.741,253
-9,2,26,26.4951,26
-3,0,65,66.5945,66
-8,1,92,93.5011,93
11,2,973,926.896,926
26,6,753,744.701,744
5,1,48,49.1712,49
7,1,32,32.7808,32
7,1,22,22.5368,22
4,0,5,4.16215,4
-16,3,420,419.887,419
-1,0,126,127.74,127
-28,6,98,99.6474,99
-19,4,33,33.2834,33
-2,0,33,33.2972,33
5,1,48,49.1712,49
26,6,753,744.701,744
7,1,32,32.7808,32
7,1,22,22.5368,22
11,2,973,926.896,926
4,0,5,4.16215,4
-1,0,126,127.74,127
-2,0,33,33.2972,33
-19,4,33,33.2834,33
-16,3,420,419.887,419
-28,6,98,99.6474,99
1,0,397,397.331,397
2,0,342,343.344,343
28,6,108,109.737,109
28,6,100,102.191,102
3,0,67,68.6755,68
8,1,50,51.22,51
-25,6,153,154.25,154
-28,6,131,131.75,131
-13,3,24,24.7081,24
-3,0,23,22.8918,22
-4,0,11,10.4054,10
1,0,397,397.331,397
25,6,30,31.9654,31
2,0,342,343.344,343
18,4,7,6.24065,6
3,0,67,68.6755,68
7,1,8,8.1952,8
8,1,50,51.22,51
28,6,108,109.737,109
28,6,100,102.191,102
-13,3,24,24.7081,24
-25,6,153,154.25,154
-3,0,23,22.8918,22
-4,0,11,10.4054,10
-28,6,131,131.75,131
22,5,14,14.3237,14
-33,8,107,112.543,112
-13,3,123,124.887,124
-26,6,27,28.4137,28
-17,4,19,18.7219,18
22,5,14,14.3237,14
-13,3,123,124.887,124
-17,4,19,18.7219,18
-26,6,27,28.4137,28
-33,8,107,112.543,112
8,1,48,49.1712,49
-1,0,826,803.432,803
-22,5,723,710.945,710
-21,5,16,16.3699,16
-23,5,14,14.3237,14
8,1,48,49.1712,49
-1,0,826,803.432,803
-21,5,16,16.3699,16
-22,5,723,710.945,710
-23,5,14,14.3237,14
15,3,836,805.022,805
23,5,496,495.577,495
28,6,182,184.23,184
-6,1,317,316.753,316
15,3,836,805.022,805
23,5,496,495.577,495
28,6,182,184.23,184
-6,1,317,316.753,316
14,3,438,437.459,437
19,4,168,169.263,169
28,6,116,117.168,117
28,6,89,90.6142,90
5,1,54,55.3176,55
21,5,30,30.6936,30
-24,5,605,604.984,604
-19,4,49,49.9252,49
-3,0,41,41.6215,41
-20,4,39,39.5241,39
-2,0,35,35.3783,35
-14,3,24,24.7081,24
5,1,54,55.3176,55
21,5,30,30.6936,30
14,3,438,437.459,437
19,4,168,169.263,169
28,6,89,90.6142,90
28,6,116,117.168,117
-2,0,35,35.3783,35
-10,2,1,2.03809,2
-14,3,24,24.7081,24
-3,0,41,41.6215,41
-19,4,49,49.9252,49
-20,4,39,39.5241,39
-24,5,605,604.984,604
28,6,229,229.226,229
28,6,48,49.7239,49
28,6,48,49.7239,49
28,6,229,229.226,229
18,4,1302,1232.36,1232
4,0,268,268.595,268
-4,0,1834,1797.03,1797
-22,5,176,176.699,176
-8,1,124,124.925,124
-15,3,38,39.1212,39
18,4,1302,1232.36,1232
4,0,268,268.595,268
-22,5,176,176.699,176
-15,3,38,39.1212,39
-4,0,1834,1797.03,1797
-8,1,124,124.925,124
26,6,60,62.1549,62
7,1,44,45.0736,45
17,4,45,45.7647,45
2,0,31,31.2162,31
20,4,27,27.0428,27
-3,0,157,159.21,159
-3,0,87,89.4863,89
-2,0,17,16.6486,16
17,4,45,45.7647,45
2,0,31,31.2162,31
26,6,60,62.1549,62
7,1,44,45.0736,45
20,4,27,27.0428,27
-2,0,17,16.6486,16
-3,0,87,89.4863,89
-3,0,157,159.21,159
11,2,1431,1361.95,1361
12,2,1394,1325.86,1325
24,5,239,240.321,240
29,7,50,51.2856,51
-24,5,412,412.395,412
-11,2,24,24.457,24
29,7,50,51.2856,51
11,2,1431,1361.95,1361
12,2,1394,1325.86,1325
24,5,239,240.321,240
-11,2,24,24.457,24
-24,5,412,412.395,412
1,0,771,752.68,752
-6,1,937,897.487,897
-4,0,96,97.267,97
-29,7,40,41.3134,41
-12,2,56,57.0664,57
-12,2,30,30.5713,30
1,0,771,752.68,752
-29,7,40,41.3134,41
-6,1,937,897.487,897
-4,0,96,97.267,97
-12,2,30,30.5713,30
-12,2,56,57.0664,57
20,4,1191,1126.34,1126
7,1,93,94.7854,94
-18,4,1111,1050.86,1050
-12,2,54,55.0283,55
-6,1,36,36.8784,36
7,1,93,94.7854,94
20,4,1191,1126.34,1126
-6,1,36,36.8784,36
-18,4,1111,1050.86,1050
-12,2,54,55.0283,55
6,1,929,890.529,890
15,3,847,814.719,814
29,7,37,38.4642,38
5,1,54,55.3176,55
25,6,27,28.4137,28
5,1,54,55.3176,55
25,6,27,28.4137,28
29,7,37,38.4642,38
6,1,929,890.529,890
15,3,847,814.719,814
28,6,227,226.999,226
1,0,143,144.233,144
3,0,41,41.6215,41
21,5,26,26.6011,26
3,0,13,12.4865,12
-1,0,102,103.394,103
1,0,143,144.233,144
21,5,26,26.6011,26
3,0,13,12.4865,12
3,0,41,41.6215,41
28,6,227,226.999,226
-1,0,102,103.394,103
6,1,40,40.976,40
-19,4,225,225.47,225
-27,6,215,215.833,215
-1,0,47,47.8648,47
-7,1,30,30.732,30
-12,2,14,14.2666,14
6,1,40,40.976,40
-1,0,47,47.8648,47
-7,1,30,30.732,30
-19,4,225,225.47,225
-27,6,215,215.833,215
-12,2,14,14.2666,14
8,1,635,627.846,627
16,3,596,597.226,597
24,5,42,42.971,42
7,1,40,40.976,40
-26,6,87,87.992,87
-16,3,34,35.0032,35
-3,0,35,35.3783,35
7,1,40,40.976,40
8,1,635,627.846,627
16,3,596,597.226,597
24,5,42,42.971,42
-26,6,87,87.992,87
-3,0,35,35.3783,35
-16,3,34,35.0032,35
19,4,594,590.583,590
-23,5,615,613.739,613
-15,3,158,158.517,158
-20,4,51,52.0054,52
-22,5,50,51.156,51
19,4,594,590.583,590
-22,5,50,51.156,51
-15,3,158,158.517,158
-23,5,615,613.739,613
-20,4,51,52.0054,52
26,6,297,297.547,297
18,4,279,280.515,280
7,1,95,96.0618,96
28,6,58,60.379,60
9,2,40,40.7617,40
2,0,37,37.4594,37
9,2,40,40.7617,40
2,0,37,37.4594,37
18,4,279,280.515,280
26,6,297,297.547,297
7,1,95,96.0618,96
28,6,58,60.379,60
20,4,43,43.6845,43
-10,2,137,137.71,137
-22,5,123,124.357,124
20,4,43,43.6845,43
-10,2,137,137.71,137
-22,5,123,124.357,124
2,0,29,29.1351,29
-1,0,225,226.174,226
-20,4,206,206.633,206
-32,7,78,79.7776,79
-2,0,71,72.8377,72
2,0,29,29.1351,29
-1,0,225,226.174,226
-2,0,71,72.8377,72
-32,7,78,79.7776,79
-20,4,206,206.633,206
6,1,132,132.885,132
8,1,34,34.8296,34
9,2,12,12.2285,12
-29,7,74,75.5038,75
-10,2,24,24.457,24
9,2,12,12.2285,12
6,1,132,132.885,132
8,1,34,34.8296,34
-29,7,74,75.5038,75
-10,2,24,24.457,24
15,3,325,326.716,326
32,7,47,48.4364,48
9,2,56,57.0664,57
-11,2,419,418.393,418
9,2,56,57.0664,57
15,3,325,326.716,326
32,7,47,48.4364,48
-11,2,419,418.393,418
20,4,858,818.797,818
5,1,52,53.2688,53
-7,1,584,584.277,584
-25,6,79,79.9134,79
-2,0,77,79.0809,79
-14,3,12,12.3541,12
5,1,52,53.2688,53
20,4,858,818.797,818
-25,6,79,79.9134,79
-2,0,77,79.0809,79
-14,3,12,12.3541,12
-7,1,584,584.277,584
10,2,396,396.291,396
33,8,60,64.107,64
8,1,30,30.732,30
-16,3,600,601.828,601
-28,6,102,103.457,103
-33,8,78,82.6268,82
-17,4,98,99.5554,99
-10,2,14,14.2666,14
10,2,396,396.291,396
8,1,30,30.732,30
33,8,60,64.107,64
-17,4,98,99.5554,99
-10,2,14,14.2666,14
-16,3,600,601.828,601
-28,6,102,103.457,103
-33,8,78,82.6268,82
29,7,52,54.1348,54
1,0,23,22.8918,22
-23,5,1937,1899.07,1899
-8,1,1652,1592.31,1592
1,0,23,22.8918,22
29,7,52,54.1348,54
-23,5,1937,1899.07,1899
-8,1,1652,1592.31,1592
2,0,101,102.181,102
18,4,25,24.9626,24
-26,6,154,155.418,155
2,0,101,102.181,102
18,4,25,24.9626,24
-26,6,154,155.418,155
23,5,241,242.446,242
15,3,76,78.2424,78
-19,4,25,24.9626,24
15,3,76,78.2424,78
23,5,241,242.446,242
-19,4,25,24.9626,24
6,1,366,365.919,365
21,5,127,127.911,127
18,4,109,110.468,110
19,4,19,18.7219,18
3,0,17,16.6486,16
10,2,12,12.2285,12
-24,5,278,278.422,278
-15,3,276,277.53,277
-28,6,75,76.3617,76
-4,0,17,16.6486,16
-2,0,11,10.4054,10
21,5,127,127.911,127
6,1,366,365.919,365
10,2,12,12.2285,12
18,4,109,110.468,110
3,0,17,16.6486,16
19,4,19,18.7219,18
-2,0,11,10.4054,10
-15,3,276,277.53,277
-4,0,17,16.6486,16
-24,5,278,278.422,278
-28,6,75,76.3617,76
-32,7,78,79.7776,79
-32,7,78,79.7776,79
12,2,932,889.899,889
6,1,131,131.757,131
14,3,72,74.1244,74
15,3,40,41.1802,41
-15,3,1025,975.218,975
-3,0,155,157.09,157
-7,1,26,26.6344,26
